Sour IP;Dest IP;Numb P;Data;Sour Port;Dest Port;Time 
192.133.154.32;;12;263;13704;11469;0:57:36 
192.111.168.170;;2;138;43414;41879;0:43:12 
192.145.203.65;;14;252;22513;54661;1:40:48 
192.83.225.215;;3;135;8158;11146;1:40:48 
192.98.242.158;;9;89;31788;48719;0:57:36 
192.41.29.75;;2;79;60845;23940;1:40:48 
192.117.22.53;;7;275;5795;54305;2:09:36 
192.17.118.123;;13;172;59292;30924;1:26:24 
192.72.4.69;;14;118;29632;25812;2:24:00 
192.158.224.16;;13;249;59956;8005;0:57:36 
192.26.11.217;;7;192;31766;7553;2:09:36 
192.66.210.223;;13;178;16649;23304;1:55:12 
192.62.179.192;;8;244;34620;42352;1:55:12 
192.11.165.113;;3;131;24867;45029;1:55:12 
192.21.9.131;;6;248;37366;26048;0:14:24 
192.9.205.82;;9;197;29689;23971;1:55:12 
192.240.254.13;;15;136;34447;42267;0:14:24 
192.164.40.37;;7;32;31435;29180;1:26:24 
192.209.96.137;;3;199;2452;16027;2:24:00 
192.145.240.47;;1;70;32908;64608;1:12:00 
192.168.72.70;;12;187;9039;27658;1:40:48 
192.113.179.173;;14;171;56297;11130;1:40:48 
192.107.174.89;;6;135;28763;16858;1:55:12 
192.105.223.33;;1;234;25508;1314;0:43:12 
192.251.121.78;;6;276;53912;61193;2:09:36 
192.118.55.180;;12;172;64575;51776;1:26:24 
192.189.228.254;;13;37;26965;35278;0:28:48 
192.136.214.159;;4;81;62724;51854;1:12:00 
192.162.225.148;;2;28;42254;62523;0:28:48 
192.212.229.127;;7;147;10970;58613;0:43:12 
192.179.132.111;;2;207;8084;6930;0:43:12 
192.6.43.231;;15;264;27070;31038;2:09:36 
192.42.104.236;;5;130;5514;56945;2:24:00 
192.90.226.244;;15;149;58495;38871;0:57:36 
192.235.171.1;;15;29;21748;20630;1:26:24 
192.134.22.236;;1;33;15296;3509;0:28:48 
192.54.80.77;;14;127;39869;64680;2:24:00 
192.127.129.100;;4;110;17772;54399;0:43:12 
192.101.94.254;;5;59;15076;18900;2:09:36 
192.240.129.162;;1;191;3103;51245;0:28:48 
192.72.3.65;;7;109;22390;15526;2:24:00 
192.109.6.30;;9;148;4956;9501;1:26:24 
192.171.036;;1;269;59995;44828;0:28:48 
192.208.209.246;;11;198;49264;1530;0:14:24 
192.162.48.155;;5;78;32750;65295;1:26:24 
192.202.33.48;;15;78;55300;57300;1:12:00 
192.218.77.141;;4;232;65381;9172;1:40:48 
192.140.123.248;;15;218;16747;48725;0:43:12 
192.92.25.103;;7;196;33969;7169;0:43:12 
