index,Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,time,T2
2372,2017-03-15 01:11:48.903,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540308.903,285.97042545491996
2386,2017-03-15 01:12:08.999,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540328.999,279.904000043869
2400,2017-03-15 01:12:36.423,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540356.423,272.57599997520447
2412,2017-03-15 01:12:46.471,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540366.471,289.9520001411438
2434,2017-03-15 01:13:42.472,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,66,1,.A....,0,1489540422.472,243.99900007247925
2435,2017-03-15 01:13:42.472,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540422.472,300.0
2453,2017-03-15 01:14:02.568,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,66,1,.A....,0,1489540442.568,279.90399980545044
2454,2017-03-15 01:14:08.009,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540448.009,294.5590000152588
2468,2017-03-15 01:14:22.665,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,66,1,.A....,0,1489540462.665,285.3440001010895
2473,2017-03-15 01:14:28.105,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540468.105,294.55999994277954
2485,2017-03-15 01:14:48.201,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540488.201,279.904000043869
2492,2017-03-15 01:14:57.801,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,66,1,.A....,0,1489540497.801,290.39999985694885
2503,2017-03-15 01:15:11.117,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540511.117,286.6840000152588
2511,2017-03-15 01:15:17.897,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,66,1,.A....,0,1489540517.897,293.22000002861023
2514,2017-03-15 01:15:31.210,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540531.21,286.6870000362396
2526,2017-03-15 01:15:48.746,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540548.746,282.46399998664856
2528,2017-03-15 01:15:48.746,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,66,1,.A....,0,1489540548.746,300.0
2540,2017-03-15 01:15:58.762,0.0,TCP  ,10000_35,443,192.168.220.16,49514,1,66,1,.A....,0,1489540558.762,289.9839999675751
2541,2017-03-15 01:15:58.762,0.0,TCP  ,10000_35,443,192.168.220.16,49512,1,66,1,.A....,0,1489540558.762,300.0
2543,2017-03-15 01:16:08.842,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,66,1,.A....,0,1489540568.842,289.92000007629395
2544,2017-03-15 01:16:08.842,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,66,1,.A....,0,1489540568.842,300.0
2555,2017-03-15 01:16:28.906,0.0,TCP  ,10000_35,443,192.168.220.16,49514,1,66,1,.A....,0,1489540588.906,279.9360001087189
2558,2017-03-15 01:16:28.906,0.0,TCP  ,10000_35,443,192.168.220.16,49512,1,66,1,.A....,0,1489540588.906,300.0
2556,2017-03-15 01:16:28.938,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,66,1,.A....,0,1489540588.938,299.96799993515015
1,2017-03-15 01:16:38.987,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,      66,1,.A....,0,1489540598.987,289.95099997520447
13,2017-03-15 01:16:59.051,0.0,TCP  ,10000_35,443,192.168.220.16,49514,1,      66,1,.A....,0,1489540619.051,279.9359998703003
15,2017-03-15 01:16:59.051,0.0,TCP  ,10000_35,443,192.168.220.16,49512,1,      66,1,.A....,0,1489540619.051,300.0
14,2017-03-15 01:16:59.083,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,      66,1,.A....,0,1489540619.083,299.9680001735687
24,2017-03-15 01:17:01.795,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,      66,1,.A....,0,1489540621.795,297.28799986839294
37,2017-03-15 01:17:09.099,0.0,TCP  ,10000_35,443,192.168.220.16,49514,1,      66,1,.A....,0,1489540629.099,292.69600009918213
38,2017-03-15 01:17:09.099,0.0,TCP  ,10000_35,443,192.168.220.16,49512,1,      66,1,.A....,0,1489540629.099,300.0
39,2017-03-15 01:17:09.131,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,      66,1,.A....,0,1489540629.131,299.96799993515015
43,2017-03-15 01:17:11.819,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,      66,1,.A....,0,1489540631.819,297.3120000362396
53,2017-03-15 01:17:29.194,0.0,TCP  ,10000_35,443,192.168.220.16,49514,1,      66,1,.A....,0,1489540649.194,282.625
