index,Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,time,T2
80,2017-03-15 00:01:33.456,0.0,TCP  ,192.168.200.2,8045,192.168.220.16,51357,1,      54,1,.A.R..,0,1489536093.456,129.97196154411023
592,2017-03-15 00:04:49.489,0.0,TCP  ,192.168.200.2,1322,192.168.220.16,51357,1,      54,1,.A.R..,0,1489536289.489,103.9670000076294
1149,2017-03-15 00:08:39.526,0.0,TCP  ,192.168.200.2,5633,192.168.220.16,51357,1,      54,1,.A.R..,0,1489536519.526,69.96300005912781
1604,2017-03-15 00:11:57.566,0.0,TCP  ,192.168.200.2,1048,192.168.220.16,51357,1,      54,1,.A.R..,0,1489536717.566,101.96000003814697
1653,2017-03-15 00:12:14.570,0.0,TCP  ,192.168.200.2,25,192.168.220.16,51381,1,      54,1,.A.R..,0,1489536734.57,282.9960000514984
2153,2017-03-15 00:15:46.603,0.0,TCP  ,192.168.200.2,3995,192.168.220.16,51357,1,      54,1,.A.R..,0,1489536946.603,87.9670000076294
2617,2017-03-15 00:19:06.639,0.0,TCP  ,192.168.200.2,1761,192.168.220.16,51357,1,      54,1,.A.R..,0,1489537146.639,99.96399998664856
3136,2017-03-15 00:22:24.672,0.0,TCP  ,192.168.200.2,407,192.168.220.16,51357,1,      54,1,.A.R..,0,1489537344.672,101.9670000076294
3688,2017-03-15 00:26:12.709,0.0,TCP  ,192.168.200.2,1011,192.168.220.16,51357,1,      54,1,.A.R..,0,1489537572.709,71.96299982070923
4210,2017-03-15 00:29:59.745,0.0,TCP  ,192.168.200.2,1088,192.168.220.16,51357,1,      54,1,.A.R..,0,1489537799.745,72.96400022506714
4785,2017-03-15 00:33:47.785,0.0,TCP  ,192.168.200.2,1053,192.168.220.16,51357,1,      54,1,.A.R..,0,1489538027.785,71.9599997997284
5237,2017-03-15 00:37:13.814,0.0,TCP  ,192.168.200.2,11111,192.168.220.16,51357,1,      54,1,.A.R..,0,1489538233.814,93.97100019454956
5310,2017-03-15 00:37:36.822,0.0,TCP  ,192.168.200.2,1864,192.168.220.16,51357,1,      54,1,.A.R..,0,1489538256.822,276.99199986457825
5859,2017-03-15 00:41:24.860,0.0,TCP  ,192.168.200.2,9594,192.168.220.16,51357,1,      54,1,.A.R..,0,1489538484.86,71.96200013160706
6420,2017-03-15 00:45:08.892,0.0,TCP  ,192.168.200.2,1087,192.168.220.16,51357,1,      54,1,.A.R..,0,1489538708.892,75.96799993515015
6475,2017-03-15 00:45:26.896,0.0,TCP  ,192.168.200.2,25,192.168.220.16,51382,1,      54,1,.A.R..,0,1489538726.896,281.9960000514984
7063,2017-03-15 00:49:30.934,0.0,TCP  ,192.168.200.2,1041,192.168.220.16,51357,1,      54,1,.A.R..,0,1489538970.934,55.96199989318848
7602,2017-03-15 00:53:16.968,0.0,TCP  ,192.168.200.2,3404,192.168.220.16,51357,1,      54,1,.A.R..,0,1489539196.968,73.96600008010864
8131,2017-03-15 00:56:14.002,0.0,TCP  ,192.168.200.2,9998,192.168.220.16,51357,1,      54,1,.A.R..,0,1489539374.002,122.96599984169006
8704,2017-03-15 01:00:00.036,0.0,TCP  ,192.168.200.2,2004,192.168.220.16,51357,1,      54,1,.A.R..,0,1489539600.036,73.96600008010864
9314,2017-03-15 01:03:46.071,0.0,TCP  ,192.168.200.2,6901,192.168.220.16,51357,1,      54,1,.A.R..,0,1489539826.071,73.96499991416931
9847,2017-03-15 01:07:37.110,0.0,TCP  ,192.168.200.2,50002,192.168.220.16,51357,1,      54,1,.A.R..,0,1489540057.11,68.9610002040863
10413,2017-03-15 01:11:25.147,0.0,TCP  ,192.168.200.2,3017,192.168.220.16,51357,1,      54,1,.A.R..,0,1489540285.147,71.96299982070923
10719,2017-03-15 01:13:47.166,0.0,TCP  ,192.168.200.2,3920,192.168.220.16,51357,1,      54,1,.A.R..,0,1489540427.166,157.98100018501282
11436,2017-03-15 01:13:47.166,0.0,TCP  ,192.168.200.2,3920,192.168.220.16,51357,1,54,1,.A.R..,0,1489540427.166,300.0
10959,2017-03-15 01:15:14.185,0.0,TCP  ,192.168.200.2,1521,192.168.220.16,51357,1,      54,1,.A.R..,0,1489540514.185,212.98099994659424
11676,2017-03-15 01:15:14.185,0.0,TCP  ,192.168.200.2,1521,192.168.220.16,51357,1,54,1,.A.R..,0,1489540514.185,300.0
