Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos
2017-03-15 01:16:30.191,0.0,TCP  ,192.168.220.16,51357,192.168.200.4,32769,1,      58,1,....S.,0
2017-03-15 01:16:31.193,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,1583,1,      58,1,....S.,0
2017-03-15 01:16:31.634,0.0,UDP  ,192.168.220.8,137,192.168.220.255,137,1,      92,1,......,0
2017-03-15 01:16:32.852,0.0,TCP  ,EXT_SERVER,8082,192.168.200.8,49194,1,     200,1,.AP...,32
2017-03-15 01:16:32.833,0.225,TCP  ,192.168.200.8,49194,EXT_SERVER,8082,2,     319,1,.AP...,0
2017-03-15 01:16:33.761,0.003,TCP  ,192.168.220.5,51146,192.168.100.5,445,2,     174,1,.AP...,0
2017-03-15 01:16:33.576,0.021,TCP  ,192.168.220.16,60803,EXT_SERVER,8082,2,     338,1,.AP...,0
2017-03-15 01:16:33.596,0.0,TCP  ,EXT_SERVER,8082,192.168.220.16,60803,1,     212,1,.AP...,32
2017-03-15 01:16:33.763,0.0,TCP  ,192.168.100.5,445,192.168.220.5,51146,1,     108,1,.AP...,0
2017-03-15 01:16:37.209,0.0,TCP  ,EXT_SERVER,8082,192.168.200.4,56979,1,     212,1,.AP...,32
2017-03-15 01:16:37.191,0.021,TCP  ,192.168.200.4,56979,EXT_SERVER,8082,2,     338,1,.AP...,0
2017-03-15 01:16:38.987,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,      66,1,.A....,0
2017-03-15 01:16:39.547,0.0,TCP  ,EXT_SERVER,8000,192.168.200.9,51125,1,      66,1,.A..S.,32
2017-03-15 01:16:39.531,0.057,TCP  ,EXT_SERVER,8000,192.168.200.9,51124,7,     800,1,.AP.SF,32
2017-03-15 01:16:39.477,0.071,TCP  ,EXT_SERVER,8000,192.168.200.9,51122,7,     659,1,.AP.SF,32
2017-03-15 01:16:39.477,0.051,TCP  ,EXT_SERVER,8000,192.168.200.9,51123,7,     654,1,.AP.SF,32
2017-03-15 01:16:39.513,0.059000000000000004,TCP  ,192.168.200.9,51124,EXT_SERVER,8000,6,     646,1,.AP.SF,0
2017-03-15 01:16:39.459,0.053,TCP  ,192.168.200.9,51123,EXT_SERVER,8000,6,     575,1,.AP.SF,0
2017-03-15 01:16:39.530,0.018000000000000002,TCP  ,192.168.200.9,51125,EXT_SERVER,8000,2,     120,1,.A..S.,0
2017-03-15 01:16:39.459,0.073,TCP  ,192.168.200.9,51122,EXT_SERVER,8000,6,     649,1,.AP.SF,0
2017-03-15 01:16:40.312,0.0,TCP  ,192.168.100.5,445,192.168.220.7,37191,1,     108,1,.AP...,0
2017-03-15 01:16:40.311,0.005,TCP  ,192.168.220.7,37191,192.168.100.5,445,2,     174,1,.AP...,0
2017-03-15 01:16:41.493,0.0,TCP  ,192.168.100.5,445,192.168.220.14,52321,1,     108,1,.AP...,0
2017-03-15 01:16:41.492,0.004,TCP  ,192.168.220.14,52321,192.168.100.5,445,2,     174,1,.AP...,0
2017-03-15 01:16:41.794,0.0,TCP  ,EXT_SERVER,8082,192.168.200.5,51649,1,     212,1,.AP...,32
2017-03-15 01:16:41.775,0.021,TCP  ,192.168.200.5,51649,EXT_SERVER,8082,2,     338,1,.AP...,0
2017-03-15 01:16:42.802,0.0,TCP  ,192.168.100.5,445,192.168.220.13,60689,1,     108,1,.AP...,0
2017-03-15 01:16:42.801,0.003,TCP  ,192.168.220.13,60689,192.168.100.5,445,2,     174,1,.AP...,0
2017-03-15 01:16:43.148,0.008,TCP  ,192.168.200.4,43183,192.168.100.5,445,2,     174,1,.AP...,0
2017-03-15 01:16:43.152,0.0,TCP  ,192.168.100.5,445,192.168.200.4,43183,1,     108,1,.AP...,0
2017-03-15 01:16:44.392,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:16:44.641,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:16:46.193,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,1583,1,      58,1,....S.,0
2017-03-15 01:16:48.015,0.0,UDP  ,192.168.220.2,67,192.168.220.11,68,1,     375,1,......,192
2017-03-15 01:16:48.007,0.0,UDP  ,192.168.220.11,68,192.168.220.2,67,1,     342,1,......,0
2017-03-15 01:16:48.218,0.019,TCP  ,192.168.220.15,37039,EXT_SERVER,8082,2,     338,1,.AP...,0
2017-03-15 01:16:48.238,0.0,TCP  ,EXT_SERVER,8082,192.168.220.15,37039,1,     212,1,.AP...,32
2017-03-15 01:16:50.221,0.022000000000000002,TCP  ,192.168.220.14,48380,EXT_SERVER,8082,2,     338,1,.AP...,0
2017-03-15 01:16:50.170,0.237,TCP  ,192.168.200.9,50110,EXT_SERVER,8082,2,     319,1,.AP...,0
2017-03-15 01:16:50.240,0.0,TCP  ,EXT_SERVER,8082,192.168.220.14,48380,1,     212,1,.AP...,32
2017-03-15 01:16:50.188,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,50110,1,     200,1,.AP...,32
2017-03-15 01:16:51.728,0.08800000000000001,TCP  ,10000_35,443,192.168.220.16,49583,4,     419,1,.AP.S.,0
2017-03-15 01:16:51.730,0.098,TCP  ,10000_35,443,192.168.220.16,49588,4,     419,1,.AP.S.,0
2017-03-15 01:16:51.730,0.09,TCP  ,10000_35,443,192.168.220.16,49585,4,     419,1,.AP.S.,0
2017-03-15 01:16:51.730,0.062,TCP  ,10001_232,443,192.168.220.16,55138,5,    4069,1,.AP.S.,0
2017-03-15 01:16:51.730,0.094,TCP  ,10000_35,443,192.168.220.16,49586,4,     419,1,.AP.S.,0
2017-03-15 01:16:51.763,0.061,TCP  ,10001_232,443,192.168.220.16,55140,6,    4135,1,.AP.S.,0
2017-03-15 01:16:51.728,0.092,TCP  ,10000_35,443,192.168.220.16,49584,4,     419,1,.AP.S.,0
2017-03-15 01:16:51.656,0.0,UDP  ,192.168.220.12,137,192.168.220.255,137,1,      92,1,......,0
2017-03-15 01:16:51.707,0.061,TCP  ,192.168.220.16,49588,10000_35,443,5,     906,1,.AP.S.,0
2017-03-15 01:16:51.740,0.12,TCP  ,192.168.220.16,55140,10001_232,443,9,     947,1,.AP.S.,0
2017-03-15 01:16:51.705,0.051,TCP  ,192.168.220.16,49584,10000_35,443,5,     906,1,.AP.S.,0
2017-03-15 01:16:51.742,0.026000000000000002,TCP  ,192.168.220.16,49056,10000_35,443,2,     603,1,.AP...,0
2017-03-15 01:16:51.706,0.122,TCP  ,192.168.220.16,55138,10001_232,443,9,     947,1,.AP.S.,0
2017-03-15 01:16:51.706,0.054000000000000006,TCP  ,192.168.220.16,49586,10000_35,443,5,     906,1,.AP.S.,0
2017-03-15 01:16:51.705,0.051,TCP  ,192.168.220.16,49583,10000_35,443,5,     906,1,.AP.S.,0
2017-03-15 01:16:51.706,0.05,TCP  ,192.168.220.16,49585,10000_35,443,5,     906,1,.AP.S.,0
2017-03-15 01:16:52.395,0.0,UDP  ,DNS,53,192.168.220.16,47103,1,     299,1,......,0
2017-03-15 01:16:52.394,0.114,TCP  ,192.168.220.16,49062,10002_113,443,2,    1265,1,.AP...,0
2017-03-15 01:16:52.393,0.003,UDP  ,192.168.220.16,47103,DNS,53,2,     144,1,......,0
2017-03-15 01:16:52.454,0.18100000000000002,TCP  ,10007_17,80,192.168.220.16,47504,3,     907,1,.AP.S.,32
2017-03-15 01:16:52.657,0.114,TCP  ,192.168.220.16,55975,10002_114,443,3,    1815,1,.AP...,0
2017-03-15 01:16:52.295,0.34,TCP  ,192.168.220.16,47504,10007_17,80,5,    2407,1,.AP.S.,0
2017-03-15 01:16:57.917,0.0,TCP  ,EXT_SERVER,8082,192.168.220.9,50807,1,     212,1,.AP...,32
2017-03-15 01:16:57.898,0.021,TCP  ,192.168.220.9,50807,EXT_SERVER,8082,2,     338,1,.AP...,0
2017-03-15 01:16:58.422,0.0,TCP  ,192.168.100.5,445,192.168.220.10,40239,1,     108,1,.AP...,0
2017-03-15 01:16:58.420,0.004,TCP  ,192.168.220.10,40239,192.168.100.5,445,2,     174,1,.AP...,0
2017-03-15 01:16:59.019,0.0,TCP  ,10001_232,80,192.168.220.16,53696,1,      66,1,.A....,0
2017-03-15 01:16:59.051,0.0,TCP  ,10000_35,443,192.168.220.16,49514,1,      66,1,.A....,0
2017-03-15 01:16:59.083,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,      66,1,.A....,0
2017-03-15 01:16:59.051,0.0,TCP  ,10000_35,443,192.168.220.16,49512,1,      66,1,.A....,0
2017-03-15 01:16:59.028,0.0,TCP  ,192.168.220.16,49512,10000_35,443,1,      66,1,.A....,0
