Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos
2017-03-15 01:16:38.987,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,      66,1,.A....,0
2017-03-15 01:16:44.392,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:16:44.641,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:16:59.019,0.0,TCP  ,10001_232,80,192.168.220.16,53696,1,      66,1,.A....,0
2017-03-15 01:16:59.051,0.0,TCP  ,10000_35,443,192.168.220.16,49514,1,      66,1,.A....,0
2017-03-15 01:16:59.083,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,      66,1,.A....,0
2017-03-15 01:16:59.051,0.0,TCP  ,10000_35,443,192.168.220.16,49512,1,      66,1,.A....,0
2017-03-15 01:17:01.196,0.0,TCP  ,192.168.200.5,1494,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:17:01.795,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,      66,1,.A....,0
2017-03-15 01:17:02.196,0.0,TCP  ,192.168.200.1,9010,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:17:03.198,0.0,TCP  ,192.168.200.4,497,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:17:09.067,0.0,TCP  ,10001_232,80,192.168.220.16,53696,1,      66,1,.A....,0
2017-03-15 01:17:09.099,0.0,TCP  ,10000_35,443,192.168.220.16,49514,1,      66,1,.A....,0
2017-03-15 01:17:09.099,0.0,TCP  ,10000_35,443,192.168.220.16,49512,1,      66,1,.A....,0
2017-03-15 01:17:09.131,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,      66,1,.A....,0
2017-03-15 01:17:11.819,0.0,TCP  ,10000_35,443,192.168.220.16,49056,1,      66,1,.A....,0
2017-03-15 01:17:29.162,0.0,TCP  ,10001_232,80,192.168.220.16,53696,1,      66,1,.A....,0
2017-03-15 01:17:29.194,0.0,TCP  ,10000_35,443,192.168.220.16,49514,1,      66,1,.A....,0
2017-03-15 01:17:29.226,0.0,TCP  ,10000_35,443,192.168.220.16,49379,1,      66,1,.A....,0
2017-03-15 01:17:29.194,0.0,TCP  ,10000_35,443,192.168.220.16,49512,1,      66,1,.A....,0
2017-03-15 01:17:29.507,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:17:29.763,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:17:34.201,0.0,TCP  ,192.168.200.5,1501,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:17:35.201,0.0,TCP  ,192.168.200.1,13456,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:17:36.204,0.0,TCP  ,192.168.200.4,6005,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:17:43.652,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:17:43.907,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:17:52.972,0.0,TCP  ,10000_35,443,192.168.220.16,49675,1,      66,1,.A....,0
2017-03-15 01:18:07.208,0.0,TCP  ,192.168.200.5,5859,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:18:08.207,0.0,TCP  ,192.168.200.1,4002,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:18:09.210,0.0,TCP  ,192.168.200.4,61900,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:18:10.210,0.0,TCP  ,192.168.200.9,49158,192.168.220.16,51357,1,      58,1,.A..S.,0
2017-03-15 01:18:11.212,0.0,TCP  ,192.168.200.3,3905,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:18:13.604,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:18:13.348,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:18:22.444,0.0,TCP  ,10001_232,80,192.168.220.16,53882,1,      66,1,.A....,0
2017-03-15 01:18:23.116,0.0,TCP  ,10000_35,443,192.168.220.16,49675,1,      66,1,.A....,0
2017-03-15 01:18:42.215,0.0,TCP  ,192.168.200.4,1007,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:18:42.540,0.0,TCP  ,10001_232,80,192.168.220.16,53882,1,      66,1,.A....,0
2017-03-15 01:18:43.212,0.0,TCP  ,10000_35,443,192.168.220.16,49675,1,      66,1,.A....,0
2017-03-15 01:18:44.588,0.0,TCP  ,10001_232,443,192.168.220.16,55277,1,      66,1,.A....,0
2017-03-15 01:19:05.788,0.0,TCP  ,10000_35,443,192.168.220.16,49675,1,      66,1,.A....,0
2017-03-15 01:19:12.685,0.0,TCP  ,10001_232,80,192.168.220.16,53882,1,      66,1,.A....,0
2017-03-15 01:19:13.218,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51512,1,      58,1,.A..S.,0
2017-03-15 01:19:14.221,0.0,TCP  ,192.168.200.1,1002,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:19:14.733,0.0,TCP  ,10001_232,443,192.168.220.16,55277,1,      66,1,.A....,0
2017-03-15 01:19:15.226,0.0,TCP  ,192.168.200.4,5922,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:19:16.223,0.0,TCP  ,192.168.200.2,50636,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:19:17.224,0.0,TCP  ,192.168.200.5,1072,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:19:18.225,0.0,TCP  ,192.168.200.3,2401,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:19:26.853,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:19:27.077,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:19:32.781,0.0,TCP  ,10001_232,80,192.168.220.16,53882,1,      66,1,.A....,0
2017-03-15 01:19:34.227,0.0,TCP  ,192.168.200.2,25,192.168.220.16,51383,1,      54,1,.A.R..,0
2017-03-15 01:19:34.829,0.0,TCP  ,10001_232,443,192.168.220.16,55277,1,      66,1,.A....,0
2017-03-15 01:19:35.917,0.0,TCP  ,10000_35,443,192.168.220.16,49675,1,      66,1,.A....,0
2017-03-15 01:19:42.830,0.0,TCP  ,10001_232,80,192.168.220.16,53882,1,      66,1,.A....,0
2017-03-15 01:19:44.878,0.0,TCP  ,10001_232,443,192.168.220.16,55277,1,      66,1,.A....,0
2017-03-15 01:19:45.965,0.0,TCP  ,10000_35,443,192.168.220.16,49675,1,      66,1,.A....,0
2017-03-15 01:20:11.390,0.159,TCP  ,10007_18,80,192.168.220.16,47065,2,     140,1,.A..S.,32
2017-03-15 01:20:15.022,0.0,TCP  ,10001_232,443,192.168.220.16,55277,1,      66,1,.A....,0
2017-03-15 01:20:20.233,0.0,TCP  ,192.168.200.8,135,192.168.220.16,51415,1,      58,1,.A..S.,0
2017-03-15 01:20:30.734,0.0,TCP  ,10001_232,80,192.168.220.16,53977,1,      66,1,.A....,0
2017-03-15 01:20:31.717,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:20:40.846,0.0,TCP  ,10000_35,443,192.168.220.16,49675,1,      66,1,.A....,0
2017-03-15 01:20:42.054,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:20:51.236,0.0,TCP  ,192.168.200.5,2041,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:20:52.236,0.0,TCP  ,192.168.200.1,668,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:20:53.241,0.0,TCP  ,192.168.200.4,1057,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:21:00.879,0.0,TCP  ,10001_232,80,192.168.220.16,53977,1,      66,1,.A....,0
2017-03-15 01:21:00.942,0.0,TCP  ,10000_35,443,192.168.220.16,49675,1,      66,1,.A....,0
2017-03-15 01:21:24.242,0.0,TCP  ,192.168.200.5,1187,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:21:25.242,0.0,TCP  ,192.168.200.1,2393,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:21:26.243,0.0,TCP  ,192.168.200.4,3003,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:21:28.295,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:21:41.070,0.0,TCP  ,10001_232,80,192.168.220.16,53977,1,      66,1,.A....,0
2017-03-15 01:21:41.134,0.0,TCP  ,10000_35,443,192.168.220.16,49675,1,      66,1,.A....,0
2017-03-15 01:21:57.247,0.0,TCP  ,192.168.200.5,691,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:21:58.247,0.0,TCP  ,192.168.200.1,765,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:21:59.250,0.0,TCP  ,192.168.200.4,34571,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:22:00.519,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:22:01.166,0.0,TCP  ,10001_232,80,192.168.220.16,53977,1,      66,1,.A....,0
2017-03-15 01:22:01.230,0.0,TCP  ,10000_35,443,192.168.220.16,49675,1,      66,1,.A....,0
2017-03-15 01:22:15.251,0.0,TCP  ,192.168.200.1,25,192.168.220.16,51432,1,      54,1,.A.R..,0
2017-03-15 01:22:16.254,0.0,TCP  ,192.168.200.4,25,192.168.220.16,51442,1,      54,1,.A.R..,0
2017-03-15 01:22:17.254,0.0,TCP  ,192.168.200.5,25,192.168.220.16,51429,1,      54,1,.A.R..,0
2017-03-15 01:22:20.999,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:22:33.256,0.0,TCP  ,192.168.200.4,1138,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:22:35.352,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:22:44.176,0.0,TCP  ,10001_232,80,192.168.220.16,54094,1,      66,1,.A....,0
2017-03-15 01:22:45.224,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:23:04.260,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51513,1,      58,1,.A..S.,0
2017-03-15 01:23:04.272,0.0,TCP  ,10001_232,80,192.168.220.16,54094,1,      66,1,.A....,0
2017-03-15 01:23:05.260,0.0,TCP  ,192.168.200.1,44443,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:23:06.263,0.0,TCP  ,192.168.200.4,1090,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:23:07.263,0.0,TCP  ,192.168.200.2,7920,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:23:08.264,0.0,TCP  ,192.168.200.5,801,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:23:09.266,0.0,TCP  ,192.168.200.3,2046,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:23:16.848,0.0,TCP  ,10001_232,443,192.168.220.16,55514,1,      66,1,.A....,0
2017-03-15 01:23:17.817,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:23:24.368,0.0,TCP  ,10001_232,80,192.168.220.16,54094,1,      66,1,.A....,0
2017-03-15 01:23:34.416,0.0,TCP  ,10001_232,80,192.168.220.16,54094,1,      66,1,.A....,0
2017-03-15 01:23:36.945,0.0,TCP  ,10001_232,443,192.168.220.16,55514,1,      66,1,.A....,0
2017-03-15 01:23:40.270,0.0,TCP  ,192.168.200.4,8300,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:23:53.137,0.0,TCP  ,10000_35,443,192.168.220.16,50007,1,      66,1,.A....,0
2017-03-15 01:23:53.137,0.0,TCP  ,10000_35,443,192.168.220.16,50013,1,      66,1,.A....,0
2017-03-15 01:23:53.137,0.0,TCP  ,10000_35,443,192.168.220.16,50008,1,      66,1,.A....,0
2017-03-15 01:24:04.137,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:24:04.560,0.0,TCP  ,10001_232,80,192.168.220.16,54094,1,      66,1,.A....,0
2017-03-15 01:24:07.089,0.0,TCP  ,10001_232,443,192.168.220.16,55514,1,      66,1,.A....,0
2017-03-15 01:24:11.273,0.0,TCP  ,192.168.200.5,1040,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:24:12.272,0.0,TCP  ,192.168.200.1,2009,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:24:13.274,0.0,TCP  ,192.168.200.4,1061,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:24:19.441,0.0,TCP  ,10000_35,443,192.168.220.16,50007,1,      66,1,.A....,0
2017-03-15 01:24:19.457,0.0,TCP  ,10000_35,443,192.168.220.16,50013,1,      66,1,.A....,0
2017-03-15 01:24:19.473,0.0,TCP  ,10000_35,443,192.168.220.16,50008,1,      66,1,.A....,0
2017-03-15 01:24:20.313,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:24:27.184,0.0,TCP  ,10001_232,443,192.168.220.16,55514,1,      66,1,.A....,0
2017-03-15 01:24:29.490,0.0,TCP  ,10000_35,443,192.168.220.16,50031,1,      66,1,.A....,0
2017-03-15 01:24:29.490,0.0,TCP  ,10000_35,443,192.168.220.16,50032,1,      66,1,.A....,0
2017-03-15 01:24:37.866,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:24:39.538,0.0,TCP  ,10000_35,443,192.168.220.16,50007,1,      66,1,.A....,0
2017-03-15 01:24:39.538,0.0,TCP  ,10000_35,443,192.168.220.16,50013,1,      66,1,.A....,0
2017-03-15 01:24:39.569,0.0,TCP  ,10000_35,443,192.168.220.16,50008,1,      66,1,.A....,0
2017-03-15 01:24:44.278,0.0,TCP  ,192.168.200.5,1600,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:24:45.279,0.0,TCP  ,192.168.200.1,25735,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:24:46.280,0.0,TCP  ,192.168.200.4,38292,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:24:47.281,0.0,TCP  ,10001_232,443,192.168.220.16,55514,1,      66,1,.A....,0
2017-03-15 01:24:47.025,0.0,TCP  ,10001_232,80,192.168.220.16,54238,1,      66,1,.A....,0
2017-03-15 01:24:48.265,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:24:49.586,0.0,TCP  ,10000_35,443,192.168.220.16,50031,1,      66,1,.A....,0
2017-03-15 01:24:59.634,0.0,TCP  ,10000_35,443,192.168.220.16,50032,1,      66,1,.A....,0
2017-03-15 01:25:07.122,0.0,TCP  ,10001_232,80,192.168.220.16,54238,1,      66,1,.A....,0
2017-03-15 01:25:09.683,0.0,TCP  ,10000_35,443,192.168.220.16,50031,1,      66,1,.A....,0
2017-03-15 01:25:09.683,0.0,TCP  ,10000_35,443,192.168.220.16,50007,1,      66,1,.A....,0
2017-03-15 01:25:09.683,0.0,TCP  ,10000_35,443,192.168.220.16,50013,1,      66,1,.A....,0
2017-03-15 01:25:09.683,0.0,TCP  ,10000_35,443,192.168.220.16,50032,1,      66,1,.A....,0
2017-03-15 01:25:10.385,0.0,TCP  ,10000_35,443,192.168.220.16,50008,1,      66,1,.A....,0
2017-03-15 01:25:17.284,0.0,TCP  ,192.168.200.5,3659,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:25:18.285,0.0,TCP  ,192.168.200.1,8654,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:25:19.286,0.0,TCP  ,192.168.200.4,5907,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:25:19.730,0.0,TCP  ,10000_35,443,192.168.220.16,50031,1,      66,1,.A....,0
2017-03-15 01:25:19.730,0.0,TCP  ,10000_35,443,192.168.220.16,50007,1,      66,1,.A....,0
2017-03-15 01:25:19.730,0.0,TCP  ,10000_35,443,192.168.220.16,50013,1,      66,1,.A....,0
2017-03-15 01:25:25.746,0.0,TCP  ,10000_35,443,192.168.220.16,50008,1,      66,1,.A....,0
2017-03-15 01:25:25.778,0.0,TCP  ,10000_35,443,192.168.220.16,50032,1,      66,1,.A....,0
2017-03-15 01:25:27.218,0.0,TCP  ,10001_232,80,192.168.220.16,54238,1,      66,1,.A....,0
2017-03-15 01:25:36.778,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:25:37.034,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:25:39.830,0.0,TCP  ,10000_35,443,192.168.220.16,50031,1,      66,1,.A....,0
2017-03-15 01:25:45.842,0.0,TCP  ,10000_35,443,192.168.220.16,50008,1,      66,1,.A....,0
2017-03-15 01:25:45.874,0.0,TCP  ,10000_35,443,192.168.220.16,50032,1,      66,1,.A....,0
2017-03-15 01:25:47.314,0.0,TCP  ,10001_232,80,192.168.220.16,54238,1,      66,1,.A....,0
2017-03-15 01:25:49.875,0.0,TCP  ,10000_35,443,192.168.220.16,50013,1,      66,1,.A....,0
2017-03-15 01:25:49.875,0.0,TCP  ,10000_35,443,192.168.220.16,50007,1,      66,1,.A....,0
2017-03-15 01:25:50.291,0.0,TCP  ,192.168.200.5,1914,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:25:51.294,0.0,TCP  ,192.168.200.1,52673,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:25:52.293,0.0,TCP  ,192.168.200.4,2048,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:25:55.402,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:25:55.115,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:25:59.923,0.0,TCP  ,10000_35,443,192.168.220.16,50031,1,      66,1,.A....,0
2017-03-15 01:26:15.987,0.0,TCP  ,10000_35,443,192.168.220.16,50008,1,      66,1,.A....,0
2017-03-15 01:26:16.018,0.0,TCP  ,10000_35,443,192.168.220.16,50032,1,      66,1,.A....,0
2017-03-15 01:26:17.458,0.0,TCP  ,10001_232,80,192.168.220.16,54238,1,      66,1,.A....,0
2017-03-15 01:26:23.297,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51514,1,      58,1,.A..S.,0
2017-03-15 01:26:24.297,0.0,TCP  ,192.168.200.1,56737,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:26:25.302,0.0,TCP  ,192.168.200.4,1687,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:26:26.035,0.0,TCP  ,10000_35,443,192.168.220.16,50008,1,      66,1,.A....,0
2017-03-15 01:26:26.067,0.0,TCP  ,10000_35,443,192.168.220.16,50032,1,      66,1,.A....,0
2017-03-15 01:26:26.299,0.0,TCP  ,192.168.200.2,13,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:26:27.300,0.0,TCP  ,192.168.200.5,49176,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:26:28.301,0.0,TCP  ,192.168.200.3,1164,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:26:46.131,0.0,TCP  ,10000_35,443,192.168.220.16,50008,1,      66,1,.A....,0
2017-03-15 01:26:46.163,0.0,TCP  ,10000_35,443,192.168.220.16,50032,1,      66,1,.A....,0
2017-03-15 01:26:54.227,0.0,TCP  ,10001_232,80,192.168.220.16,54358,1,      66,1,.A....,0
2017-03-15 01:26:59.305,0.0,TCP  ,192.168.200.4,10004,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:27:06.227,0.0,TCP  ,10000_35,443,192.168.220.16,50008,1,      66,1,.A....,0
2017-03-15 01:27:06.259,0.0,TCP  ,10000_35,443,192.168.220.16,50032,1,      66,1,.A....,0
2017-03-15 01:27:14.324,0.0,TCP  ,10001_232,80,192.168.220.16,54358,1,      66,1,.A....,0
2017-03-15 01:27:16.939,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 01:27:16.667,0.0,TCP  ,10007_205,80,192.168.220.16,52680,1,      66,1,.A....,32
2017-03-15 01:27:16.748,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 01:27:25.844,0.0,TCP  ,10001_232,443,192.168.220.16,55778,1,      66,1,.A....,0
2017-03-15 01:27:30.308,0.0,TCP  ,192.168.200.5,1066,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:27:32.311,0.0,TCP  ,192.168.200.4,52848,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:27:31.309,0.0,TCP  ,192.168.200.1,3071,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 01:27:34.420,0.0,TCP  ,10001_232,80,192.168.220.16,54358,1,      66,1,.A....,0
