Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos
2017-03-15 00:01:20.523,0.0,TCP  ,10001_232,443,192.168.220.16,51113,1,      66,1,.A....,0
2017-03-15 00:01:22.891,0.0,TCP  ,10001_232,80,192.168.220.16,49671,1,      66,1,.A....,0
2017-03-15 00:01:27.819,0.0,TCP  ,10000_35,443,192.168.220.16,45558,1,      66,1,.A....,0
2017-03-15 00:01:27.819,0.0,TCP  ,10000_35,443,192.168.220.16,45487,1,      66,1,.A....,0
2017-03-15 00:01:29.452,0.0,TCP  ,192.168.200.4,25,192.168.220.16,51431,1,      54,1,.A.R..,0
2017-03-15 00:01:30.454,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51491,1,      58,1,.A..S.,0
2017-03-15 00:01:31.453,0.0,TCP  ,192.168.200.1,52822,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:01:32.456,0.0,TCP  ,192.168.200.5,10616,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:01:33.456,0.0,TCP  ,192.168.200.2,8045,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:01:36.171,0.0,TCP  ,10000_35,443,192.168.220.16,45061,1,      66,1,.A....,0
2017-03-15 00:01:36.466,0.0,TCP  ,10003_195,80,192.168.220.16,48286,1,      54,1,.A.R..,32
2017-03-15 00:01:36.964,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 00:01:37.251,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 00:01:40.619,0.0,TCP  ,10001_232,443,192.168.220.16,51113,1,      66,1,.A....,0
2017-03-15 00:01:42.988,0.0,TCP  ,10001_232,80,192.168.220.16,49671,1,      66,1,.A....,0
2017-03-15 00:01:47.916,0.0,TCP  ,10000_35,443,192.168.220.16,45558,1,      66,1,.A....,0
2017-03-15 00:01:47.916,0.0,TCP  ,10000_35,443,192.168.220.16,45487,1,      66,1,.A....,0
2017-03-15 00:01:49.460,0.0,TCP  ,192.168.200.8,135,192.168.220.16,51407,1,      58,1,.A..S.,0
2017-03-15 00:02:06.315,0.0,TCP  ,10000_35,443,192.168.220.16,45061,1,      66,1,.A....,0
2017-03-15 00:02:08.012,0.0,TCP  ,10000_35,443,192.168.220.16,45558,1,      66,1,.A....,0
2017-03-15 00:02:08.012,0.0,TCP  ,10000_35,443,192.168.220.16,45487,1,      66,1,.A....,0
2017-03-15 00:02:10.764,0.0,TCP  ,10001_232,443,192.168.220.16,51113,1,      66,1,.A....,0
2017-03-15 00:02:13.405,0.0,TCP  ,10001_232,80,192.168.220.16,49812,1,      66,1,.A....,0
2017-03-15 00:02:20.462,0.0,TCP  ,192.168.200.1,15660,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:02:21.464,0.0,TCP  ,192.168.200.4,512,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:02:24.421,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 00:02:24.676,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 00:02:26.412,0.0,TCP  ,10000_35,443,192.168.220.16,45061,1,      66,1,.A....,0
2017-03-15 00:02:38.157,0.0,TCP  ,10000_35,443,192.168.220.16,45558,1,      66,1,.A....,0
2017-03-15 00:02:38.156,0.0,TCP  ,10000_35,443,192.168.220.16,45487,1,      66,1,.A....,0
2017-03-15 00:02:40.909,0.0,TCP  ,10001_232,443,192.168.220.16,51113,1,      66,1,.A....,0
2017-03-15 00:02:43.532,0.0,TCP  ,10001_232,80,192.168.220.16,49812,1,      66,1,.A....,0
2017-03-15 00:02:44.645,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 00:02:44.900,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 00:02:52.468,0.0,TCP  ,192.168.200.5,5963,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:02:53.468,0.0,TCP  ,192.168.200.1,3390,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:02:53.580,0.0,TCP  ,10001_232,80,192.168.220.16,49812,1,      66,1,.A....,0
2017-03-15 00:02:54.470,0.0,TCP  ,192.168.200.4,5102,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:02:55.853,0.0,TCP  ,10000_35,443,192.168.220.16,45061,1,      66,1,.A....,0
2017-03-15 00:02:55.853,0.0,TCP  ,10000_35,443,192.168.220.16,45558,1,      66,1,.A....,0
2017-03-15 00:02:55.853,0.0,TCP  ,10000_35,443,192.168.220.16,45487,1,      66,1,.A....,0
2017-03-15 00:02:56.653,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 00:02:56.912,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 00:03:10.473,0.0,TCP  ,192.168.200.5,25,192.168.220.16,51420,1,      54,1,.A.R..,0
2017-03-15 00:03:13.677,0.0,TCP  ,10001_232,80,192.168.220.16,49812,1,      66,1,.A....,0
2017-03-15 00:03:15.949,0.0,TCP  ,10000_35,443,192.168.220.16,45061,1,      66,1,.A....,0
2017-03-15 00:03:15.950,0.0,TCP  ,10000_35,443,192.168.220.16,45558,1,      66,1,.A....,0
2017-03-15 00:03:15.949,0.0,TCP  ,10000_35,443,192.168.220.16,45487,1,      66,1,.A....,0
2017-03-15 00:03:18.049,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 00:03:18.308,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 00:03:33.773,0.0,TCP  ,10001_232,80,192.168.220.16,49812,1,      66,1,.A....,0
2017-03-15 00:03:36.045,0.0,TCP  ,10000_35,443,192.168.220.16,45558,1,      66,1,.A....,0
2017-03-15 00:03:36.045,0.0,TCP  ,10000_35,443,192.168.220.16,45487,1,      66,1,.A....,0
2017-03-15 00:03:38.621,0.0,TCP  ,10000_35,443,192.168.220.16,45061,1,      66,1,.A....,0
2017-03-15 00:03:39.473,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 00:03:39.681,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 00:03:56.479,0.0,TCP  ,192.168.200.5,1213,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:03:57.477,0.0,TCP  ,192.168.200.1,8022,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:03:58.479,0.0,TCP  ,192.168.200.4,1782,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:04:02.118,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 00:04:02.341,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 00:04:06.190,0.0,TCP  ,10000_35,443,192.168.220.16,45558,1,      66,1,.A....,0
2017-03-15 00:04:06.190,0.0,TCP  ,10000_35,443,192.168.220.16,45487,1,      66,1,.A....,0
2017-03-15 00:04:08.749,0.0,TCP  ,10000_35,443,192.168.220.16,45061,1,      66,1,.A....,0
2017-03-15 00:04:14.374,0.0,TCP  ,10002_113,443,192.168.220.16,49062,1,      54,1,.A....,32
2017-03-15 00:04:14.637,0.0,TCP  ,10002_114,443,192.168.220.16,55975,1,      54,1,.A....,32
2017-03-15 00:04:29.483,0.0,TCP  ,192.168.200.5,2910,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:04:30.483,0.0,TCP  ,192.168.200.1,55056,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:04:31.485,0.0,TCP  ,192.168.200.4,9010,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:04:36.334,0.0,TCP  ,10000_35,443,192.168.220.16,45558,1,      66,1,.A....,0
2017-03-15 00:04:36.334,0.0,TCP  ,10000_35,443,192.168.220.16,45487,1,      66,1,.A....,0
2017-03-15 00:04:38.894,0.0,TCP  ,10000_35,443,192.168.220.16,45061,1,      66,1,.A....,0
2017-03-15 00:04:47.486,0.0,TCP  ,192.168.200.1,25,192.168.220.16,51423,1,      54,1,.A.R..,0
2017-03-15 00:04:48.489,0.0,TCP  ,192.168.200.9,135,192.168.220.16,51492,1,      58,1,.A..S.,0
2017-03-15 00:04:48.944,0.0,TCP  ,10000_35,443,192.168.220.16,45061,1,      66,1,.A....,0
2017-03-15 00:04:49.489,0.0,TCP  ,192.168.200.2,1322,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:04:51.492,0.0,TCP  ,192.168.200.3,20222,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:04:50.491,0.0,TCP  ,192.168.200.5,2500,192.168.220.16,51357,1,      54,1,.A.R..,0
2017-03-15 00:04:56.106,0.0,TCP  ,10001_232,80,192.168.220.16,49955,1,      66,1,.A....,0
